"item_id","section","legacy_score","statement","disposition","embedded_assumption","ambiguity_and_bias","gaming_risk","role_or_culture_risk","required_evidence"
"L211","Unit Testing","2","The team has a standard mocking framework that they use for all mocks, stubs, doubles.","rewrite","Assumes endorsement of this statement represents organizational capability.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L212","Unit Testing","2","The entire team recognizes the value of refactoring of unit tests.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L213","Unit Testing","3","Unit tests are comprehensive, consistently fast, and form the foundation for continuous refactoring. Test coverage and quality are so high that developers confidently rely on them for design validation and risk mitigation.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L214","Automated Acceptance Testing","-1","Heavy post development Test Case suite generation culture followed by a UAT phase.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L215","Automated Acceptance Testing","1","Team understands BDD conceptually.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L216","Automated Acceptance Testing","1","Test cases utilize BDD style specifications.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L217","Automated Acceptance Testing","1","User stories have BDD style acceptance criteria, which are leveraged for QA (could be manual or automated testing).","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L218","Automated Acceptance Testing","1","The Three Amigo's have collective ownership of the testing approach.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L219","Automated Acceptance Testing","2","User stories are rich in Acceptance Criteria illustrated by example(s) that have corresponding automated (acceptance/regression) test suites.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L220","Automated Acceptance Testing","2","These tests are developed in parallel to story development by QA using our standard tools - Karate and Playwright.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L221","Automated Acceptance Testing","2","Tests are peer-reviewed and managed like code","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L222","Automated Acceptance Testing","2","These tests are kept fresh with newer richer examples with the growth of codebase and are frequently reviewed by the business.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L223","Automated Acceptance Testing","3","Acceptance Criteria generated by the business with rich example(s) are the core of user stories.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L224","Refactoring","-1","The value of the continuous improvement of the design of the code is not understood by the team.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L225","Refactoring","1","There is a general understanding of what refactoring is.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L226","Refactoring","1","The team knows how to use the IDE tools for refactoring.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L227","Refactoring","1","The team understands refactoring and how to apply it.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L228","Refactoring","1","Refactoring is applied to targeted problem areas.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L229","Refactoring","1","Static code analysis metrics are used to target areas in the code base for refactoring.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L230","Refactoring","2","Refactoring is applied consistently across the code base.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L231","Refactoring","2","Static code analysis thresholds are a gating item for the definition of a successful build.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L232","Refactoring","2","There is a technical debt list that is used to prioritize refactoring activities with new feature development or other sustaining activities.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L233","Refactoring","2","The team refactors tests as well as code (all code artifacts - Models, Views, Controllers, DB Schema, Stored Procedures, HTML, CSS, etc).","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L234","Refactoring","3","Design patterns such as the SOLID principles are applied to guide improvement.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L235","Refactoring","3","Refactoring enables emergent design.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L236","Pair Programming","-1","No understanding of pair programming or there is concern that It will lower the utilization rate of individual developers.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L237","Pair Programming","1","Random acts of pair programming.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L238","Pair Programming","1","At least 1 hour per developer per week of pair programming.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","limited lexical ambiguity; context still unspecified","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L239","Pair Programming","1","Pairing happens when an issue arises and there is significant pressure to fix it fast.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L240","Pair Programming","1","At least 1 hour per developer per day of pair programming.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","limited lexical ambiguity; context still unspecified","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L241","Pair Programming","1","Pair programming includes the navigator and driver, switching roles often.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L242","Pair Programming","1","Pair programming takes place whenever a new person joins the team.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L243","Pair Programming","1","There is some thought by the team to rotate or switch pairs on a regular basis.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L244","Pair Programming","1","Since pair programming results in more intense work, active attention is given to sustainable pace - perhaps the pomodoro technique is employed.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L245","Pair Programming","2","More than 4 hours of pair programming per day.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","limited lexical ambiguity; context still unspecified","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L246","Pair Programming","2","The team has a working agreement to actively switch pair partners and ensure everyone has a chance to pair with everyone else on the team.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L247","Pair Programming","2","Management encourages pair programming.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L248","Pair Programming","3","Promiscuous pairing.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L249","Pair Programming","3","In addition to more than 4 hours of pair programming, regularly switching navigator and driver roles without pairing with the same partner everyday.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L250","Pair Programming","3","Team manages risk and uncertainty for the team by making coding decisions in pairs leading to a higher degree of confidence when problems or solutions are not 100% defined.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L251","Pair Programming","3","Pair programming is a promoted as part of a desirable environment for potential recruits.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L252","Design Simplicity","-1","Big up-front design that attempts to accommodate all potential future needs.","rewrite","Assumes endorsement of this statement represents organizational capability.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L253","Design Simplicity","-1","Team disagrees with YAGNI (You Aren't Going to Need It).","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L254","Design Simplicity","-1","Team disagrees with evolving design and architecture.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L255","Design Simplicity","-1","Team does not feel they can update their design / refactor their way to the future - they feel a need to invent everything up front - especially data design.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L256","Design Simplicity","1","Team is aware of YAGNI and evolving design and architecture, and there is some evidence of following these principles.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L257","Design Simplicity","1","If there is an external architecture group, then the team has some input on architectural choices.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L258","Design Simplicity","1","Team is aware of low coupling and high cohesion and can find examples in their code base.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L259","Design Simplicity","1","Most of the team has some understanding of design patterns and can find examples in their code base.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L260","Design Simplicity","1","There is some acceptance by the team that refactoring can be a valuable tool in updating their design with new requirements.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L261","Design Simplicity","2","The team discusses accidental complexity and will make changes to remove it.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L262","Design Simplicity","2","Many of the developers embrace single responsibility, design by contract, dependency injection, the Law of Demeter etc.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L263","Design Simplicity","3","The team polices each other on YAGNI and are disciplined about implementing only the code to pass the story acceptance tests.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L264","Design Simplicity","3","Spikes are used with each release to introduce new ideas and test architectural decisions.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L265","Design Simplicity","3","All of the developers understand and work to SOLID (https://en.wikipedia.org/wiki/SOLID).","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L266","Design Simplicity","3","The team values and updates the design documents to ensure we can teach new people and potential customers.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L267","Design Simplicity","3","The team actively works to recognize and remove accidental complexity from evolving designs.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L268","Definition of Done","-1","There is no Definition of Done.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L269","Definition of Done","-1","There is a Definition of Done that is 'code complete' only.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L270","Definition of Done","-1","Individuals complete work to varying levels of done-ness with no visibility to what work is or is not being completed for each story.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L271","Definition of Done","1","There is a reasonable and documented Definition of Done.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L272","Definition of Done","1","Definition of Done is mostly followed.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L273","Definition of Done","1","Definition of Done was created by the team","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L274","Definition of Done","1","Definition of Done documents the breadth of activities necessary for code to be ready for production.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L275","Definition of Done","1","Everyone on the team knows the Definition of Done, follows it consistently and can explain what Done means for their team.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L276","Definition of Done","1","There may be a Release level Definition of Done that captures activities that cannot be achieved in a user story definition of done.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L277","Definition of Done","1","Stories that do not meet the Definition of Done are not accepted and are not demonstrated to the customer.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L278","Definition of Done","2","Definition of Done is reviewed by the team on a regular basis and adjustments / improvements are made as needed.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L279","Definition of Done","2","Debt repayment needed to bring existing code up to an updated Definition of Done enters the backlog as one or more new stories.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L280","Definition of Done","2","Changes to process, infrastructure, teams or organizational structure are made as needed to enable all work to meet the Definition of Done at the story level so any Release level Definition of Done becomes moot.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","undefined evaluative or frequency term; potentially compound statement; absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L281","Definition of Done","3","Continuous deployment enabled.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L282","Continuous Integration - Legacy","-1","Build is manually performed, infrequently, custom every time or may be repeatable but static.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L283","Continuous Integration - Legacy","-1","Steps to run and configure builds are not captured in any manner.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L284","Continuous Integration - Legacy","-1","The build process is considered 'tribal knowledge'.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L285","Continuous Integration - Legacy","1","Build to a dedicated environment is repeatable and automated.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L286","Continuous Integration - Legacy","1","There is automated unit testing in the build.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L287","Continuous Integration - Legacy","1","State of the build is a responsibility of the team.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L288","Continuous Integration - Legacy","1","Build is automatically triggered.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L289","Continuous Integration - Legacy","1","Broken builds get fixed within 24 hours.","rewrite","Assumes endorsement of this statement represents organizational capability.","limited lexical ambiguity; context still unspecified","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L290","Continuous Integration - Legacy","1","There is reporting of code quality, build statistics, and testing results.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L291","Continuous Integration - Legacy","1","If complete regression build runs too long, then the build may be split into (1) Fast, incremental commit build launched for each check-in and (2) Complete regression build with automated functional tests as part of success criteria.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L292","Continuous Integration - Legacy","1","The commit build provides feedback on common build problems in under 10 minutes.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L293","Continuous Integration - Legacy","1","Each team member's code is pulled regularly (at least once a day) triggering the CI system.","rewrite","Assumes endorsement of this statement represents organizational capability.","limited lexical ambiguity; context still unspecified","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L294","Continuous Integration - Legacy","2","Build stages (incremental and regression) are linked in order to remove duplication across end-to-end build process.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
